Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23929479,Soumission,Michel Houellebecq,"Houellebecq, Michel",,"=""2081354802""","=""9782081354807""",2,3.65,Flammarion,Paperback,300,2015,2015,2017/06/04,2017/05/24,"2017, audiobook, audible","2017 (#32), audiobook (#48), audible (#30)",read,Lange drum gedrückt. Der ursprüngliche Skandal um das Buch ist wohl nur dem Timing von Veröffentlichung und Charlie Hebdo Anschlag zu erklären. Hatte erwartet das die Handlung mehr auf die globalen Gegebenheiten eingeht.,,,1,,,0,,,,,
20347225,Die schönsten Wanderwege der Wanderhure,Julius Fischer,"Fischer, Julius",,"=""""","=""9783863910341""",4,3.47,Voland & Quist,Paperback,160,2013,2013,2017/07/15,2017/07/15,"2017, audiobook, audible","2017 (#40), audiobook (#49), audible (#29)",read,"schade dass das Audiobook gekürzt ist, ansonten Julius in Bestform.",,,1,,,0,,,,,
30687200,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,Michael Finkel,"Finkel, Michael",Mark Bramhall,"=""1101924926""","=""9781101924921""",3,3.86,Books on Tape,Audio CD,224,2017,2017,2017/08/18,2017/08/12,"2017, audiobook, english, audible","2017 (#43), audiobook (#51), english (#7), audible (#28)",read,"Während eines Waldspaziergangs gehört :)<br/>Authentische Biografie über Chris Knight, den Einsiedler aus Main, der 27 Jahre in einem Zelt im Wald gelebt hat. Interessant, dass er neben den Einbrüchen seine Zeit hauptsächlich mit lesen, Videospiele spielen und fernsehen verbracht hat.",,,1,,,0,,,,,
31706508,Im Club der Zeitmillionäre,Greta Taubert,"Taubert, Greta",,"=""3847906224""","=""9783847906223""",3,3.40,Eichborn,Paperback,238,2016,,2017/08/25,2017/08/13,"2017, audiobook, audible","2017 (#44), audiobook (#52), audible (#27)",read,Wirklich wieder ein tolles Buch von Greta. Viele von ihr genutzten Quelle hatte ich im Vorfeld auch schon gelesen. Leider hat das Buch mich ab der Stelle in der sie sich fürs Driften entschieden hat ein wenig verloren. Das Ende kam zudem ein wenig abrupt. Eine bessere Zusammenfassung des erlebten Jahres bzw. dessen Quintessenz wäre toll gewesen. Trotzdem sehr lohnenswert,,,1,,,0,,,,,
27003,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0142001805""","=""9780142001806""",1,3.86,Penguin Books,Paperback,374,2003,2001,2017/08/29,2017/08/27,"2017, audiobook, abgebrochen, audible","2017 (#46), audiobook (#53), abgebrochen (#1), audible (#26)",read,"Habe es ein zweites Mal versucht, aber erneut abgebrochen. Nicht nur das die deutsche Audiobuch Fassung unerträglich gesprochen/gelesen wurde. Auch die Geschichte, seine Figuren und die Erzählweise packen mich zu keinem Zeitpunkt. Techniken wir z.B. die Zeitreise werden nicht detailiert beschrieben, so das der Eindruck entsteht, der Author hat sich mit seiner eigenen Geshichte nicht auseinadnergesetzt.<br/>Hasse es Bücher abzubrechen, aber jede weitere Minute/Seite wären reine Verschwendung gewesen.<br/>",,,1,,,0,,,,,
24678791,Der Garten über dem Meer,Mercè Rodoreda,"Rodoreda, Mercè",,"=""3866480334""","=""9783866480339""",1,3.78,Mare Verlag,Hardcover,240,2014,1967,2017/12/06,2017/09/26,"2017, audiobook, abgebrochen, audible","2017 (#48), audiobook (#55), abgebrochen (#5), audible (#25)",read,"So sehr ich Roger Willemsen Stimme schätze, werde ich mit der Geschichte auch nach mehr als der Hälfte des Buchs nicht warm. MNir ist bewußt dass das Buch zu den Klassikern der katalanischen Literatur zählt, aber für mich ist es einfach langweiliger Gossip aus vergangenen Tagen von Leuten die mich nicht berühren.",,,1,,,0,,,,,
35210,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,"Lowndes, Leil",,"=""007141858X""","=""9780071418584""",5,3.74,Contemporary Books,ebook,345,2003,1998,2018/01/19,2017/10/22,"audiobook, english, 2018, favorites, auf-wiedervorlage, audible","audiobook (#57), english (#8), 2018 (#4), favorites (#40), auf-wiedervorlage (#4), audible (#24)",read,"Ein wunderbares Hörbuch, dass mit seien lebhaften und hilfreichen Beispiele sehr stark erklärt, was in der Vergangenheit schied gelaufen ist und ebenso wie es zukünftig besser gemacht werden kann. Werde es definitiv weitere Male lesen/hören und kann es nur jedem weiterempfehlen.",,,1,,,0,,,,,
31394393,"Reach: A New Strategy to Help You Step Outside Your Comfort Zone, Rise to the Challenge and Build Confidence",Andy Molinsky,"Molinsky, Andy",,"=""0399574026""","=""9780399574023""",1,3.57,Avery Publishing Group,Hardcover,288,2017,,2017/12/07,2017/10/22,"2017, audiobook, english, audible","2017 (#54), audiobook (#58), english (#9), audible (#23)",read,"War recht enttäuscht, von diesem Hörbuch hatte ich mir deutlich mehr erhofft. Die vielen geschilderten Fälle waren nicht sonderlich hilfreich. Zum einen weil ich mich in die Personen nicht wirklich hineinversetzen konnte und zum anderen weil Ihre Lösungen a la ""just do it"" oder ""in kleinen Schritten"" so profan waren, dass man das ganze Buch auch einfach auf zwei Seiten hätte kürzen können.",,,1,,,0,,,,,
36405216,Die Kunst des guten Lebens: 52 überraschende Wege zum Glück,Rolf Dobelli,"Dobelli, Rolf",El Bocho,"=""""","=""""",5,4.04,Piper ebooks,Kindle Edition,379,2017,2012,2017/12/06,2017/12/05,"2017, audiobook, favorites, auf-wiedervorlage, audible","2017 (#58), audiobook (#60), favorites (#38), auf-wiedervorlage (#6), audible (#22)",read,"Ein wunderbares Buch von Dobelli, welches Erkenntnisse der aktuelle Psychologie, mit der Philosophie der Stoiker und Erfahrungen aus der Finanzwelt vereint. Einiges davon habe ich nicht zum ersten Mal gehört, aber teilweise in einem neuen Kontext. Werde einige von seinen Ratschlägen befolgen, so z.B. dieses Buch erneut lesen, wenn auch nicht direkt im Anschluss. Mal sehen inwieweit dadurch mehr im Gedächtnis bleibt.",,,1,,,0,,,,,
33979609,"Ungebetene Gäste: Weihnachtsspecial (Ein Fall für Jack und Sarah, #25)",Matthew Costello,"Costello, Matthew","Neil Richards, Sabine Schilasky, Sabina Godec","=""""","=""""",2,3.89,Lübbe Audio,Audiobook,,2016,,2018/01/19,2018/01/18,"2018, audiobook, audible","2018 (#3), audiobook (#64), audible (#21)",read,"Cheesy und wenig spannendes Weihnachtskrimi, das neben einer belanglosen Story mit unsäglichen Dialogen und sterotypischen Namen sowie Verhalten aufwartet. Hinzu kommt noch die sehr überzogene Vorleserin  der Audiobuch Fassung.<br/><br/><br/><br/><br/>",,,1,,,0,,,,,
